index,Name,GW,Position,Club,Total Points,Cost
0,Aaron Connolly,1.0,FWD,Brighton,1.67,55.0
1,Aaron Connolly,2.0,FWD,Brighton,2.3,55.0
2,Aaron Connolly,3.0,FWD,Brighton,2.27,55.0
3,Aaron Connolly,4.0,FWD,Brighton,2.24,55.0
4,Aaron Connolly,5.0,FWD,Brighton,2.42,55.0
5,Aaron Connolly,6.0,FWD,Brighton,2.18,55.0
6,Aaron Connolly,7.0,FWD,Brighton,1.96,55.0
7,Aaron Connolly,8.0,FWD,Brighton,1.86,54.0
8,Aaron Connolly,9.0,FWD,Brighton,1.68,54.0
9,Aaron Connolly,10.0,FWD,Brighton,1.71,53.0
10,Aaron Connolly,11.0,FWD,Brighton,1.74,53.0
11,Aaron Connolly,12.0,FWD,Brighton,1.67,53.0
12,Aaron Connolly,13.0,FWD,Brighton,1.5,53.0
13,Aaron Connolly,14.0,FWD,Brighton,1.55,53.0
14,Aaron Connolly,15.0,FWD,Brighton,1.39,53.0
15,Aaron Connolly,16.0,FWD,Brighton,1.25,53.0
16,Aaron Connolly,17.0,FWD,Brighton,1.63,52.0
17,Aaron Connolly,18.0,FWD,Brighton,1.47,52.0
18,Aaron Connolly,19.0,FWD,Brighton,1.32,52.0
19,Aaron Connolly,20.0,FWD,Brighton,1.19,52.0
20,Aaron Connolly,21.0,FWD,Brighton,1.17,52.0
21,Aaron Connolly,22.0,FWD,Brighton,1.15,52.0
22,Aaron Connolly,23.0,FWD,Brighton,1.24,52.0
23,Aaron Connolly,24.0,FWD,Brighton,1.11,52.0
24,Aaron Connolly,25.0,FWD,Brighton,1.0,52.0
25,Aaron Connolly,26.0,FWD,Brighton,1.1,52.0
26,Aaron Connolly,27.0,FWD,Brighton,0.99,52.0
27,Aaron Connolly,28.0,FWD,Brighton,0.89,52.0
28,Aaron Connolly,29.0,FWD,Brighton,0.8,52.0
29,Aaron Connolly,30.0,FWD,Brighton,0.72,52.0
30,Aaron Connolly,31.0,FWD,Brighton,0.65,52.0
31,Aaron Connolly,32.0,FWD,Brighton,0.59,52.0
32,Aaron Connolly,33.0,FWD,Brighton,0.63,52.0
33,Aaron Connolly,34.0,FWD,Brighton,0.56,52.0
34,Aaron Connolly,35.0,FWD,Brighton,0.51,52.0
35,Aaron Connolly,36.0,FWD,Brighton,0.46,52.0
36,Aaron Connolly,37.0,FWD,Brighton,0.41,52.0
37,Aaron Connolly,38.0,FWD,Brighton,0.47,52.0
38,Aaron Cresswell,1.0,DEF,West Ham,1.82,50.0
39,Aaron Cresswell,2.0,DEF,West Ham,1.74,50.0
40,Aaron Cresswell,3.0,DEF,West Ham,2.27,49.0
41,Aaron Cresswell,4.0,DEF,West Ham,3.54,49.0
42,Aaron Cresswell,5.0,DEF,West Ham,3.69,49.0
43,Aaron Cresswell,6.0,DEF,West Ham,3.52,50.0
44,Aaron Cresswell,7.0,DEF,West Ham,3.27,50.0
45,Aaron Cresswell,8.0,DEF,West Ham,3.54,51.0
46,Aaron Cresswell,9.0,DEF,West Ham,3.89,51.0
47,Aaron Cresswell,10.0,DEF,West Ham,3.7,52.0
48,Aaron Cresswell,11.0,DEF,West Ham,3.43,52.0
49,Aaron Cresswell,12.0,DEF,West Ham,3.58,52.0
50,Aaron Cresswell,13.0,DEF,West Ham,3.43,52.0
51,Aaron Cresswell,14.0,DEF,West Ham,3.18,52.0
52,Aaron Cresswell,15.0,DEF,West Ham,3.26,53.0
53,Aaron Cresswell,16.0,DEF,West Ham,3.54,53.0
54,Aaron Cresswell,17.0,DEF,West Ham,4.28,53.0
55,Aaron Cresswell,18.0,DEF,West Ham,3.86,50.0
56,Aaron Cresswell,19.0,DEF,West Ham,3.97,54.0
57,Aaron Cresswell,20.0,DEF,West Ham,4.07,54.0
58,Aaron Cresswell,21.0,DEF,West Ham,4.07,55.0
59,Aaron Cresswell,22.0,DEF,West Ham,3.76,56.0
60,Aaron Cresswell,23.0,DEF,West Ham,4.28,57.0
61,Aaron Cresswell,24.0,DEF,West Ham,5.06,58.0
62,Aaron Cresswell,25.0,DEF,West Ham,4.75,58.0
63,Aaron Cresswell,26.0,DEF,West Ham,4.37,58.0
64,Aaron Cresswell,27.0,DEF,West Ham,5.14,58.0
65,Aaron Cresswell,28.0,DEF,West Ham,4.82,58.0
66,Aaron Cresswell,29.0,DEF,West Ham,4.34,59.0
67,Aaron Cresswell,30.0,DEF,West Ham,4.01,59.0
68,Aaron Cresswell,31.0,DEF,West Ham,3.61,59.0
69,Aaron Cresswell,32.0,DEF,West Ham,3.25,58.0
70,Aaron Cresswell,33.0,DEF,West Ham,2.92,57.0
71,Aaron Cresswell,34.0,DEF,West Ham,2.83,56.0
72,Aaron Cresswell,35.0,DEF,West Ham,2.65,56.0
73,Aaron Cresswell,36.0,DEF,West Ham,2.68,56.0
74,Aaron Cresswell,37.0,DEF,West Ham,2.91,56.0
75,Aaron Cresswell,38.0,DEF,West Ham,3.22,57.0
76,Aaron Mooy,1.0,MID,Brighton,2.12,50.0
77,Aaron Mooy,2.0,MID,Brighton,1.91,50.0
78,Aaron Mooy,3.0,MID,Brighton,1.72,50.0
79,Aaron Mooy,4.0,MID,Brighton,1.55,50.0
80,Aaron Mooy,5.0,MID,Brighton,1.39,50.0
81,Aaron Mooy,6.0,MID,Brighton,1.25,50.0
82,Aaron Mooy,7.0,MID,Brighton,1.13,50.0
83,Aaron Mooy,8.0,MID,Brighton,1.02,50.0
84,Aaron Mooy,9.0,MID,Brighton,0.91,50.0
85,Aaron Mooy,10.0,MID,Brighton,0.82,50.0
86,Aaron Mooy,11.0,MID,Brighton,0.74,50.0
87,Aaron Mooy,12.0,MID,Brighton,0.67,50.0
88,Aaron Mooy,13.0,MID,Brighton,0.6,50.0
89,Aaron Mooy,14.0,MID,Brighton,0.54,50.0
90,Aaron Mooy,15.0,MID,Brighton,0.49,50.0
91,Aaron Mooy,16.0,MID,Brighton,0.44,50.0
92,Aaron Mooy,17.0,MID,Brighton,0.39,50.0
93,Aaron Mooy,18.0,MID,Brighton,0.35,50.0
94,Aaron Mooy,19.0,MID,Brighton,0.32,50.0
95,Aaron Mooy,20.0,MID,Brighton,0.29,50.0
96,Aaron Mooy,21.0,MID,Brighton,0.26,50.0
97,Aaron Mooy,22.0,MID,Brighton,0.23,50.0
98,Aaron Mooy,23.0,MID,Brighton,0.21,50.0
99,Aaron Mooy,24.0,MID,Brighton,0.19,50.0
100,Aaron Mooy,25.0,MID,Brighton,0.17,50.0
101,Aaron Mooy,26.0,MID,Brighton,0.15,50.0
102,Aaron Mooy,27.0,MID,Brighton,0.14,50.0
103,Aaron Mooy,28.0,MID,Brighton,0.12,50.0
104,Aaron Mooy,29.0,MID,Brighton,0.11,50.0
105,Aaron Mooy,30.0,MID,Brighton,0.1,50.0
106,Aaron Mooy,31.0,MID,Brighton,0.09,50.0
107,Aaron Mooy,32.0,MID,Brighton,0.08,50.0
108,Aaron Mooy,33.0,MID,Brighton,0.07,50.0
109,Aaron Mooy,34.0,MID,Brighton,0.07,50.0
110,Aaron Mooy,35.0,MID,Brighton,0.06,50.0
111,Aaron Mooy,36.0,MID,Brighton,0.05,50.0
112,Aaron Mooy,37.0,MID,Brighton,0.05,50.0
113,Aaron Mooy,38.0,MID,Brighton,0.04,50.0
114,Aaron Ramsdale,1.0,GK,Sheffield Utd,1.68,50.0
115,Aaron Ramsdale,2.0,GK,Sheffield Utd,1.71,50.0
116,Aaron Ramsdale,3.0,GK,Sheffield Utd,1.94,50.0
117,Aaron Ramsdale,4.0,GK,Sheffield Utd,1.94,50.0
118,Aaron Ramsdale,5.0,GK,Sheffield Utd,2.05,50.0
119,Aaron Ramsdale,6.0,GK,Sheffield Utd,2.04,49.0
120,Aaron Ramsdale,7.0,GK,Sheffield Utd,2.24,49.0
121,Aaron Ramsdale,8.0,GK,Sheffield Utd,2.22,49.0
122,Aaron Ramsdale,9.0,GK,Sheffield Utd,2.19,48.0
123,Aaron Ramsdale,10.0,GK,Sheffield Utd,2.27,48.0
124,Aaron Ramsdale,11.0,GK,Sheffield Utd,2.15,48.0
125,Aaron Ramsdale,12.0,GK,Sheffield Utd,2.13,48.0
126,Aaron Ramsdale,13.0,GK,Sheffield Utd,2.12,47.0
127,Aaron Ramsdale,14.0,GK,Sheffield Utd,2.11,47.0
128,Aaron Ramsdale,15.0,GK,Sheffield Utd,2.1,47.0
129,Aaron Ramsdale,16.0,GK,Sheffield Utd,2.09,47.0
130,Aaron Ramsdale,17.0,GK,Sheffield Utd,1.98,47.0
131,Aaron Ramsdale,18.0,GK,Sheffield Utd,2.68,47.0
132,Aaron Ramsdale,19.0,GK,Sheffield Utd,2.51,47.0
133,Aaron Ramsdale,20.0,GK,Sheffield Utd,2.56,46.0
134,Aaron Ramsdale,21.0,GK,Sheffield Utd,2.6,46.0
135,Aaron Ramsdale,22.0,GK,Sheffield Utd,2.64,46.0
136,Aaron Ramsdale,23.0,GK,Sheffield Utd,2.48,46.0
137,Aaron Ramsdale,24.0,GK,Sheffield Utd,2.53,46.0
138,Aaron Ramsdale,25.0,GK,Sheffield Utd,2.58,46.0
139,Aaron Ramsdale,26.0,GK,Sheffield Utd,2.97,46.0
140,Aaron Ramsdale,27.0,GK,Sheffield Utd,2.87,46.0
141,Aaron Ramsdale,28.0,GK,Sheffield Utd,2.69,46.0
142,Aaron Ramsdale,29.0,GK,Sheffield Utd,2.42,50.0
143,Aaron Ramsdale,30.0,GK,Sheffield Utd,2.58,46.0
144,Aaron Ramsdale,31.0,GK,Sheffield Utd,2.42,46.0
145,Aaron Ramsdale,32.0,GK,Sheffield Utd,2.48,46.0
146,Aaron Ramsdale,33.0,GK,Sheffield Utd,3.13,46.0
147,Aaron Ramsdale,34.0,GK,Sheffield Utd,3.02,46.0
148,Aaron Ramsdale,35.0,GK,Sheffield Utd,3.01,46.0
149,Aaron Ramsdale,36.0,GK,Sheffield Utd,3.71,46.0
150,Aaron Ramsdale,37.0,GK,Sheffield Utd,3.64,46.0
151,Aaron Ramsdale,38.0,GK,Sheffield Utd,4.18,46.0
152,Aaron Wan-Bissaka,1.0,DEF,Man Utd,1.96,55.0
153,Aaron Wan-Bissaka,2.0,DEF,Man Utd,1.77,55.0
154,Aaron Wan-Bissaka,3.0,DEF,Man Utd,1.69,55.0
155,Aaron Wan-Bissaka,4.0,DEF,Man Utd,1.42,54.0
156,Aaron Wan-Bissaka,5.0,DEF,Man Utd,2.08,54.0
157,Aaron Wan-Bissaka,6.0,DEF,Man Utd,2.47,54.0
158,Aaron Wan-Bissaka,7.0,DEF,Man Utd,2.42,54.0
159,Aaron Wan-Bissaka,8.0,DEF,Man Utd,2.38,54.0
160,Aaron Wan-Bissaka,9.0,DEF,Man Utd,2.94,54.0
161,Aaron Wan-Bissaka,10.0,DEF,Man Utd,2.75,54.0
162,Aaron Wan-Bissaka,11.0,DEF,Man Utd,2.67,54.0
163,Aaron Wan-Bissaka,12.0,DEF,Man Utd,3.01,54.0
164,Aaron Wan-Bissaka,13.0,DEF,Man Utd,2.81,54.0
165,Aaron Wan-Bissaka,14.0,DEF,Man Utd,2.63,54.0
166,Aaron Wan-Bissaka,15.0,DEF,Man Utd,2.36,54.0
167,Aaron Wan-Bissaka,16.0,DEF,Man Utd,2.73,54.0
168,Aaron Wan-Bissaka,17.0,DEF,Man Utd,3.05,53.0
169,Aaron Wan-Bissaka,18.0,DEF,Man Utd,3.35,53.0
170,Aaron Wan-Bissaka,19.0,DEF,Man Utd,3.41,54.0
171,Aaron Wan-Bissaka,20.0,DEF,Man Utd,3.17,54.0
172,Aaron Wan-Bissaka,21.0,DEF,Man Utd,3.66,54.0
173,Aaron Wan-Bissaka,22.0,DEF,Man Utd,4.99,54.0
174,Aaron Wan-Bissaka,23.0,DEF,Man Utd,4.89,55.0
175,Aaron Wan-Bissaka,24.0,DEF,Man Utd,4.6,56.0
176,Aaron Wan-Bissaka,25.0,DEF,Man Utd,4.34,56.0
177,Aaron Wan-Bissaka,26.0,DEF,Man Utd,4.51,56.0
178,Aaron Wan-Bissaka,27.0,DEF,Man Utd,4.66,56.0
179,Aaron Wan-Bissaka,28.0,DEF,Man Utd,4.69,57.0
180,Aaron Wan-Bissaka,29.0,DEF,Man Utd,4.22,55.0
181,Aaron Wan-Bissaka,30.0,DEF,Man Utd,4.0,57.0
182,Aaron Wan-Bissaka,31.0,DEF,Man Utd,3.8,57.0
183,Aaron Wan-Bissaka,32.0,DEF,Man Utd,3.52,57.0
184,Aaron Wan-Bissaka,33.0,DEF,Man Utd,4.07,57.0
185,Aaron Wan-Bissaka,34.0,DEF,Man Utd,3.66,55.0
186,Aaron Wan-Bissaka,35.0,DEF,Man Utd,3.56,57.0
187,Aaron Wan-Bissaka,36.0,DEF,Man Utd,3.21,55.0
188,Aaron Wan-Bissaka,37.0,DEF,Man Utd,3.08,57.0
189,Aaron Wan-Bissaka,38.0,DEF,Man Utd,2.78,58.0
190,Abdoulaye Doucouré,1.0,MID,Everton,2.98,55.0
191,Abdoulaye Doucouré,2.0,MID,Everton,2.78,55.0
192,Abdoulaye Doucouré,3.0,MID,Everton,2.7,55.0
193,Abdoulaye Doucouré,4.0,MID,Everton,2.93,55.0
194,Abdoulaye Doucouré,5.0,MID,Everton,2.84,54.0
195,Abdoulaye Doucouré,6.0,MID,Everton,2.65,54.0
196,Abdoulaye Doucouré,7.0,MID,Everton,2.49,54.0
197,Abdoulaye Doucouré,8.0,MID,Everton,2.34,53.0
198,Abdoulaye Doucouré,9.0,MID,Everton,3.01,53.0
199,Abdoulaye Doucouré,10.0,MID,Everton,2.91,53.0
200,Abdoulaye Doucouré,11.0,MID,Everton,2.81,53.0
201,Abdoulaye Doucouré,12.0,MID,Everton,2.73,53.0
202,Abdoulaye Doucouré,13.0,MID,Everton,2.76,53.0
203,Abdoulaye Doucouré,14.0,MID,Everton,2.68,53.0
204,Abdoulaye Doucouré,15.0,MID,Everton,3.02,53.0
205,Abdoulaye Doucouré,16.0,MID,Everton,2.71,55.0
206,Abdoulaye Doucouré,17.0,MID,Everton,2.64,53.0
207,Abdoulaye Doucouré,18.0,MID,Everton,2.48,53.0
208,Abdoulaye Doucouré,19.0,MID,Everton,2.23,55.0
209,Abdoulaye Doucouré,20.0,MID,Everton,2.01,52.0
210,Abdoulaye Doucouré,21.0,MID,Everton,2.01,52.0
211,Abdoulaye Doucouré,22.0,MID,Everton,2.01,52.0
212,Abdoulaye Doucouré,23.0,MID,Everton,2.81,52.0
213,Abdoulaye Doucouré,24.0,MID,Everton,2.67,52.0
214,Abdoulaye Doucouré,25.0,MID,Everton,2.71,52.0
215,Abdoulaye Doucouré,26.0,MID,Everton,2.74,52.0
216,Abdoulaye Doucouré,27.0,MID,Everton,2.46,52.0
217,Abdoulaye Doucouré,28.0,MID,Everton,2.22,52.0
218,Abdoulaye Doucouré,29.0,MID,Everton,2.0,55.0
219,Abdoulaye Doucouré,30.0,MID,Everton,1.8,52.0
220,Abdoulaye Doucouré,31.0,MID,Everton,1.62,52.0
221,Abdoulaye Doucouré,32.0,MID,Everton,1.45,52.0
222,Abdoulaye Doucouré,33.0,MID,Everton,1.31,51.0
223,Abdoulaye Doucouré,34.0,MID,Everton,1.18,51.0
224,Abdoulaye Doucouré,35.0,MID,Everton,1.21,51.0
225,Abdoulaye Doucouré,36.0,MID,Everton,1.29,51.0
226,Abdoulaye Doucouré,37.0,MID,Everton,1.46,51.0
227,Abdoulaye Doucouré,38.0,MID,Everton,1.41,51.0
228,Aboubakar Kamara,1.0,MID,Fulham,0.86,50.0
229,Aboubakar Kamara,2.0,MID,Fulham,0.88,50.0
230,Aboubakar Kamara,3.0,MID,Fulham,0.79,50.0
231,Aboubakar Kamara,4.0,MID,Fulham,0.81,50.0
232,Aboubakar Kamara,5.0,MID,Fulham,0.73,49.0
233,Aboubakar Kamara,6.0,MID,Fulham,0.46,49.0
234,Aboubakar Kamara,7.0,MID,Fulham,0.41,49.0
235,Aboubakar Kamara,8.0,MID,Fulham,0.37,48.0
236,Aboubakar Kamara,9.0,MID,Fulham,0.33,48.0
237,Aboubakar Kamara,10.0,MID,Fulham,0.3,48.0
238,Aboubakar Kamara,11.0,MID,Fulham,0.37,48.0
239,Aboubakar Kamara,12.0,MID,Fulham,0.43,48.0
240,Aboubakar Kamara,13.0,MID,Fulham,0.49,48.0
241,Aboubakar Kamara,14.0,MID,Fulham,0.44,48.0
242,Aboubakar Kamara,15.0,MID,Fulham,0.4,48.0
243,Aboubakar Kamara,16.0,MID,Fulham,0.36,50.0
244,Aboubakar Kamara,17.0,MID,Fulham,0.32,50.0
245,Aboubakar Kamara,18.0,MID,Fulham,0.39,48.0
246,Aboubakar Kamara,19.0,MID,Fulham,0.45,48.0
247,Aboubakar Kamara,20.0,MID,Fulham,0.41,48.0
248,Aboubakar Kamara,21.0,MID,Fulham,0.36,48.0
249,Aboubakar Kamara,22.0,MID,Fulham,0.33,48.0
250,Aboubakar Kamara,23.0,MID,Fulham,0.3,48.0
251,Aboubakar Kamara,24.0,MID,Fulham,0.27,48.0
252,Aboubakar Kamara,25.0,MID,Fulham,0.24,48.0
253,Aboubakar Kamara,26.0,MID,Fulham,0.22,48.0
254,Aboubakar Kamara,27.0,MID,Fulham,0.19,48.0
255,Aboubakar Kamara,28.0,MID,Fulham,0.17,48.0
256,Aboubakar Kamara,29.0,MID,Fulham,0.16,48.0
257,Aboubakar Kamara,30.0,MID,Fulham,0.14,48.0
258,Aboubakar Kamara,31.0,MID,Fulham,0.13,48.0
259,Aboubakar Kamara,32.0,MID,Fulham,0.11,48.0
260,Aboubakar Kamara,33.0,MID,Fulham,0.1,50.0
261,Aboubakar Kamara,34.0,MID,Fulham,0.09,48.0
262,Aboubakar Kamara,35.0,MID,Fulham,0.08,48.0
263,Aboubakar Kamara,36.0,MID,Fulham,0.08,48.0
264,Aboubakar Kamara,37.0,MID,Fulham,0.07,48.0
265,Aboubakar Kamara,38.0,MID,Fulham,0.06,48.0
266,Adam Forshaw,1.0,MID,Leeds,1.82,50.0
267,Adam Forshaw,2.0,MID,Leeds,1.64,50.0
268,Adam Forshaw,3.0,MID,Leeds,1.48,49.0
269,Adam Forshaw,4.0,MID,Leeds,1.33,49.0
270,Adam Forshaw,5.0,MID,Leeds,1.2,49.0
271,Adam Forshaw,6.0,MID,Leeds,1.08,49.0
272,Adam Forshaw,7.0,MID,Leeds,0.97,48.0
273,Adam Forshaw,8.0,MID,Leeds,0.87,48.0
274,Adam Forshaw,9.0,MID,Leeds,0.79,48.0
275,Adam Forshaw,10.0,MID,Leeds,0.71,48.0
276,Adam Forshaw,11.0,MID,Leeds,0.64,48.0
277,Adam Forshaw,12.0,MID,Leeds,0.57,48.0
278,Adam Forshaw,13.0,MID,Leeds,0.52,48.0
279,Adam Forshaw,14.0,MID,Leeds,0.46,48.0
280,Adam Forshaw,15.0,MID,Leeds,0.42,48.0
281,Adam Forshaw,16.0,MID,Leeds,0.38,48.0
282,Adam Forshaw,17.0,MID,Leeds,0.34,48.0
283,Adam Forshaw,18.0,MID,Leeds,0.3,50.0
284,Adam Forshaw,19.0,MID,Leeds,0.27,48.0
285,Adam Forshaw,20.0,MID,Leeds,0.25,48.0
286,Adam Forshaw,21.0,MID,Leeds,0.22,48.0
287,Adam Forshaw,22.0,MID,Leeds,0.2,48.0
288,Adam Forshaw,23.0,MID,Leeds,0.18,48.0
289,Adam Forshaw,24.0,MID,Leeds,0.16,48.0
290,Adam Forshaw,25.0,MID,Leeds,0.15,48.0
291,Adam Forshaw,26.0,MID,Leeds,0.13,48.0
292,Adam Forshaw,27.0,MID,Leeds,0.12,48.0
293,Adam Forshaw,28.0,MID,Leeds,0.11,48.0
294,Adam Forshaw,29.0,MID,Leeds,0.1,48.0
295,Adam Forshaw,30.0,MID,Leeds,0.09,48.0
296,Adam Forshaw,31.0,MID,Leeds,0.08,48.0
297,Adam Forshaw,32.0,MID,Leeds,0.07,48.0
298,Adam Forshaw,33.0,MID,Leeds,0.06,48.0
299,Adam Forshaw,34.0,MID,Leeds,0.06,48.0
300,Adam Forshaw,35.0,MID,Leeds,0.05,48.0
301,Adam Forshaw,36.0,MID,Leeds,0.05,48.0
302,Adam Forshaw,37.0,MID,Leeds,0.04,48.0
303,Adam Forshaw,38.0,MID,Leeds,0.04,48.0
304,Adam Lallana,1.0,MID,Brighton,1.3,65.0
305,Adam Lallana,2.0,MID,Brighton,1.27,65.0
306,Adam Lallana,3.0,MID,Brighton,1.34,64.0
307,Adam Lallana,4.0,MID,Brighton,1.31,64.0
308,Adam Lallana,5.0,MID,Brighton,1.38,63.0
309,Adam Lallana,6.0,MID,Brighton,1.54,63.0
310,Adam Lallana,7.0,MID,Brighton,1.58,63.0
311,Adam Lallana,8.0,MID,Brighton,1.73,62.0
312,Adam Lallana,9.0,MID,Brighton,1.95,62.0
313,Adam Lallana,10.0,MID,Brighton,1.86,62.0
314,Adam Lallana,11.0,MID,Brighton,1.67,62.0
315,Adam Lallana,12.0,MID,Brighton,1.5,62.0
316,Adam Lallana,13.0,MID,Brighton,1.65,62.0
317,Adam Lallana,14.0,MID,Brighton,1.69,62.0
318,Adam Lallana,15.0,MID,Brighton,1.62,62.0
319,Adam Lallana,16.0,MID,Brighton,1.46,62.0
320,Adam Lallana,17.0,MID,Brighton,1.41,62.0
321,Adam Lallana,18.0,MID,Brighton,1.27,62.0
322,Adam Lallana,19.0,MID,Brighton,1.14,62.0
323,Adam Lallana,20.0,MID,Brighton,1.03,62.0
324,Adam Lallana,21.0,MID,Brighton,1.03,62.0
325,Adam Lallana,22.0,MID,Brighton,1.02,62.0
326,Adam Lallana,23.0,MID,Brighton,1.02,62.0
327,Adam Lallana,24.0,MID,Brighton,1.02,62.0
328,Adam Lallana,25.0,MID,Brighton,1.02,62.0
329,Adam Lallana,26.0,MID,Brighton,1.02,62.0
330,Adam Lallana,27.0,MID,Brighton,1.81,62.0
331,Adam Lallana,28.0,MID,Brighton,1.83,62.0
332,Adam Lallana,29.0,MID,Brighton,1.95,62.0
333,Adam Lallana,30.0,MID,Brighton,1.95,62.0
334,Adam Lallana,31.0,MID,Brighton,2.06,62.0
335,Adam Lallana,32.0,MID,Brighton,1.95,62.0
336,Adam Lallana,33.0,MID,Brighton,1.96,62.0
337,Adam Lallana,34.0,MID,Brighton,1.76,62.0
338,Adam Lallana,35.0,MID,Brighton,1.59,62.0
339,Adam Lallana,36.0,MID,Brighton,1.53,62.0
340,Adam Lallana,37.0,MID,Brighton,1.47,62.0
341,Adam Lallana,38.0,MID,Brighton,1.43,62.0
342,Adam Webster,1.0,DEF,Brighton,2.18,45.0
343,Adam Webster,2.0,DEF,Brighton,2.57,45.0
344,Adam Webster,3.0,DEF,Brighton,2.41,45.0
345,Adam Webster,4.0,DEF,Brighton,2.17,45.0
346,Adam Webster,5.0,DEF,Brighton,2.15,45.0
347,Adam Webster,6.0,DEF,Brighton,2.04,45.0
348,Adam Webster,7.0,DEF,Brighton,1.93,45.0
349,Adam Webster,8.0,DEF,Brighton,2.34,44.0
350,Adam Webster,9.0,DEF,Brighton,2.31,44.0
351,Adam Webster,10.0,DEF,Brighton,2.27,44.0
352,Adam Webster,11.0,DEF,Brighton,2.15,44.0
353,Adam Webster,12.0,DEF,Brighton,1.93,44.0
354,Adam Webster,13.0,DEF,Brighton,2.34,44.0
355,Adam Webster,14.0,DEF,Brighton,2.31,44.0
356,Adam Webster,15.0,DEF,Brighton,2.17,44.0
357,Adam Webster,16.0,DEF,Brighton,2.16,44.0
358,Adam Webster,17.0,DEF,Brighton,2.04,44.0
359,Adam Webster,18.0,DEF,Brighton,1.94,44.0
360,Adam Webster,19.0,DEF,Brighton,2.24,44.0
361,Adam Webster,20.0,DEF,Brighton,2.62,44.0
362,Adam Webster,21.0,DEF,Brighton,2.96,44.0
363,Adam Webster,22.0,DEF,Brighton,3.26,44.0
364,Adam Webster,23.0,DEF,Brighton,3.14,44.0
365,Adam Webster,24.0,DEF,Brighton,2.82,44.0
366,Adam Webster,25.0,DEF,Brighton,2.54,44.0
367,Adam Webster,26.0,DEF,Brighton,2.29,43.0
368,Adam Webster,27.0,DEF,Brighton,2.06,43.0
369,Adam Webster,28.0,DEF,Brighton,1.85,43.0
370,Adam Webster,29.0,DEF,Brighton,1.67,43.0
371,Adam Webster,30.0,DEF,Brighton,1.5,43.0
372,Adam Webster,31.0,DEF,Brighton,1.35,43.0
373,Adam Webster,32.0,DEF,Brighton,1.81,43.0
374,Adam Webster,33.0,DEF,Brighton,1.83,43.0
375,Adam Webster,34.0,DEF,Brighton,2.25,43.0
376,Adam Webster,35.0,DEF,Brighton,2.12,43.0
377,Adam Webster,36.0,DEF,Brighton,2.11,43.0
378,Adam Webster,37.0,DEF,Brighton,2.5,43.0
379,Adam Webster,38.0,DEF,Brighton,2.35,43.0
380,Adama Traoré,1.0,MID,Wolves,3.38,65.0
381,Adama Traoré,2.0,MID,Wolves,3.24,65.0
382,Adama Traoré,3.0,MID,Wolves,3.12,65.0
383,Adama Traoré,4.0,MID,Wolves,2.91,65.0
384,Adama Traoré,5.0,MID,Wolves,2.71,64.0
385,Adama Traoré,6.0,MID,Wolves,2.54,64.0
386,Adama Traoré,7.0,MID,Wolves,2.39,63.0
387,Adama Traoré,8.0,MID,Wolves,2.25,63.0
388,Adama Traoré,9.0,MID,Wolves,2.13,62.0
389,Adama Traoré,10.0,MID,Wolves,2.01,62.0
390,Adama Traoré,11.0,MID,Wolves,2.01,62.0
391,Adama Traoré,12.0,MID,Wolves,1.91,62.0
392,Adama Traoré,13.0,MID,Wolves,1.82,61.0
393,Adama Traoré,14.0,MID,Wolves,1.74,61.0
394,Adama Traoré,15.0,MID,Wolves,1.76,61.0
395,Adama Traoré,16.0,MID,Wolves,1.79,61.0
396,Adama Traoré,17.0,MID,Wolves,2.11,61.0
397,Adama Traoré,18.0,MID,Wolves,1.9,61.0
398,Adama Traoré,19.0,MID,Wolves,1.91,61.0
399,Adama Traoré,20.0,MID,Wolves,2.02,61.0
400,Adama Traoré,21.0,MID,Wolves,1.92,60.0
401,Adama Traoré,22.0,MID,Wolves,1.92,60.0
402,Adama Traoré,23.0,MID,Wolves,2.03,60.0
403,Adama Traoré,24.0,MID,Wolves,2.03,60.0
404,Adama Traoré,25.0,MID,Wolves,2.43,60.0
405,Adama Traoré,26.0,MID,Wolves,2.48,60.0
406,Adama Traoré,27.0,MID,Wolves,2.53,60.0
407,Adama Traoré,28.0,MID,Wolves,2.48,60.0
408,Adama Traoré,29.0,MID,Wolves,2.23,65.0
409,Adama Traoré,30.0,MID,Wolves,2.61,60.0
410,Adama Traoré,31.0,MID,Wolves,3.15,60.0
411,Adama Traoré,32.0,MID,Wolves,3.43,60.0
412,Adama Traoré,33.0,MID,Wolves,3.19,60.0
413,Adama Traoré,34.0,MID,Wolves,3.07,61.0
414,Adama Traoré,35.0,MID,Wolves,3.56,61.0
415,Adama Traoré,36.0,MID,Wolves,3.41,60.0
416,Adama Traoré,37.0,MID,Wolves,3.27,60.0
417,Adama Traoré,38.0,MID,Wolves,3.04,60.0
418,Ademipo Odubeko,1.0,FWD,West Ham,0.0,45.0
419,Ademipo Odubeko,2.0,FWD,West Ham,0.0,45.0
420,Ademipo Odubeko,3.0,FWD,West Ham,0.0,45.0
421,Ademipo Odubeko,4.0,FWD,West Ham,0.0,45.0
422,Ademipo Odubeko,5.0,FWD,West Ham,0.0,45.0
423,Ademipo Odubeko,6.0,FWD,West Ham,0.0,45.0
424,Ademipo Odubeko,7.0,FWD,West Ham,0.0,45.0
425,Ademipo Odubeko,8.0,FWD,West Ham,0.0,45.0
426,Ademipo Odubeko,9.0,FWD,West Ham,0.0,45.0
